DATE,CLOSING.PRICE
1/2/1985,49.54
1/3/1985,49.4
1/4/1985,49.04
1/7/1985,49.06
1/8/1985,48.72
1/9/1985,49.14
1/10/1985,50.63
1/11/1985,51.04
1/14/1985,52.6
1/15/1985,53.05
1/16/1985,53.52
1/17/1985,53.42
1/18/1985,53.86
1/21/1985,55.24
1/22/1985,55.53
1/23/1985,56.33
1/24/1985,56.62
1/25/1985,57.31
1/28/1985,57.82
1/29/1985,58.33
1/30/1985,58.72
1/31/1985,58.49
2/1/1985,57.97
2/4/1985,58.94
2/5/1985,59.31
2/6/1985,59.51
2/7/1985,60.1
2/8/1985,60.09
2/11/1985,59.47
2/12/1985,58.62
2/13/1985,59.28
2/14/1985,58.72
2/15/1985,58.04
2/19/1985,57.53
2/20/1985,57.82
2/21/1985,57.4
2/22/1985,57.15
2/25/1985,56.65
2/26/1985,57.41
2/27/1985,57.04
2/28/1985,57.03
3/1/1985,57.67
3/4/1985,57.12
3/5/1985,56.83
3/6/1985,55.47
3/7/1985,54.67
3/8/1985,54.35
3/11/1985,53.94
3/12/1985,54.01
3/13/1985,52.08
3/14/1985,52.08
3/15/1985,52.37
3/18/1985,52.03
3/19/1985,52.83
3/20/1985,52.24
3/21/1985,52.07
3/22/1985,51.69
3/25/1985,50.53
3/26/1985,50.78
3/27/1985,51.47
3/28/1985,51.53
3/29/1985,51.81
4/1/1985,51.98
4/2/1985,51.44
4/3/1985,50.48
4/4/1985,50.35
4/8/1985,49.84
4/9/1985,50.01
4/10/1985,50.76
4/11/1985,51.06
4/12/1985,51.04
4/15/1985,51.19
4/16/1985,51.38
4/17/1985,51.6
4/18/1985,50.72
4/19/1985,50.3
4/22/1985,49.56
4/23/1985,49.81
4/24/1985,49.78
4/25/1985,49.97
4/26/1985,49.76
4/29/1985,48.83
4/30/1985,48.37
5/1/1985,48.03
5/2/1985,47.99
5/3/1985,48.47
5/6/1985,48.4
5/7/1985,48.44
5/8/1985,48.72
5/9/1985,49.83
5/10/1985,51.42
5/13/1985,51.55
5/14/1985,50.86
5/15/1985,50.98
5/16/1985,51.24
5/17/1985,52.09
5/20/1985,52.89
5/21/1985,52.53
5/22/1985,52.03
5/23/1985,51.33
5/24/1985,51.29
5/28/1985,50.96
5/29/1985,50.56
5/30/1985,49.79
5/31/1985,49.65
6/3/1985,49.66
6/4/1985,49.61
6/5/1985,48.92
6/6/1985,49.21
6/7/1985,48.94
6/10/1985,49.01
6/11/1985,48.81
6/12/1985,47.83
6/13/1985,46.68
6/14/1985,47.12
6/17/1985,46.63
6/18/1985,46.51
6/19/1985,46.75
6/20/1985,46.76
6/21/1985,47.65
6/24/1985,48.61
6/25/1985,49.38
6/26/1985,49.63
6/27/1985,50.06
6/28/1985,49.82
7/1/1985,50.17
7/2/1985,49.94
7/3/1985,49.65
7/5/1985,50
7/8/1985,49.58
7/9/1985,49.05
7/10/1985,49.62
7/11/1985,49.99
7/12/1985,50.16
7/15/1985,50.29
7/16/1985,51.66
7/17/1985,52.54
7/18/1985,52.29
7/19/1985,52.74
7/22/1985,52.9
7/23/1985,53.19
7/24/1985,52.97
7/25/1985,53.38
7/26/1985,53.53
7/29/1985,52.42
7/30/1985,52.38
7/31/1985,52.56
8/1/1985,53.07
8/2/1985,53.01
8/5/1985,52.48
8/6/1985,51.62
8/7/1985,50.96
8/8/1985,51.11
8/9/1985,51.08
8/12/1985,50.72
8/13/1985,50.22
8/14/1985,50.12
8/15/1985,49.81
8/16/1985,49.43
8/19/1985,49.43
8/20/1985,50.12
8/21/1985,50.37
8/22/1985,49.67
8/23/1985,49.4
8/26/1985,49.61
8/27/1985,49.78
8/28/1985,50.1
8/29/1985,49.99
8/30/1985,49.88
9/3/1985,49.69
9/4/1985,49.27
9/5/1985,49.02
9/6/1985,49.47
9/9/1985,49.56
9/10/1985,48.92
9/11/1985,48.19
9/12/1985,47.97
9/13/1985,47.33
9/16/1985,47.15
9/17/1985,46.47
9/18/1985,47.09
9/19/1985,48.03
9/20/1985,47.72
9/23/1985,48.26
9/24/1985,47.42
9/25/1985,46.62
9/26/1985,46.79
9/30/1985,46.72
10/1/1985,47.27
10/2/1985,46.56
10/3/1985,46.55
10/4/1985,45.66
10/7/1985,45.03
10/8/1985,44.42
10/9/1985,44.56
10/10/1985,44.8
10/11/1985,45.45
10/14/1985,46.56
10/15/1985,46.47
10/16/1985,46.72
10/17/1985,46.69
10/18/1985,46.65
10/21/1985,46.47
10/22/1985,47.19
10/23/1985,47.53
10/24/1985,47.62
10/25/1985,46.97
10/28/1985,46.85
10/29/1985,47.26
10/30/1985,47.42
10/31/1985,47.13
11/1/1985,47.46
11/4/1985,47.49
11/5/1985,47.9
11/6/1985,48.33
11/7/1985,48.43
11/8/1985,48.74
11/11/1985,49.47
11/12/1985,49.94
11/13/1985,49.84
11/14/1985,50.51
11/15/1985,50.33
11/18/1985,50.28
11/19/1985,50.81
11/20/1985,50.51
11/21/1985,51.31
11/22/1985,51.47
11/25/1985,51.09
11/26/1985,51.51
11/27/1985,52.35
11/29/1985,52.47
12/2/1985,52.17
12/3/1985,52.59
12/4/1985,54.22
12/5/1985,54.4
12/6/1985,54.05
12/9/1985,54.51
12/10/1985,54.55
12/11/1985,54.9
12/12/1985,55.03
12/13/1985,56.19
12/16/1985,55.94
12/17/1985,54.86
12/18/1985,54.62
12/19/1985,55.01
12/20/1985,55.24
12/23/1985,54.65
12/24/1985,54.28
12/26/1985,54.63
12/27/1985,55.4
12/30/1985,55.6
12/31/1985,55.65
1/2/1986,55.19
1/3/1986,55.17
1/6/1986,55.12
1/7/1986,56.13
1/8/1986,54.67
1/9/1986,53.97
1/10/1986,54.05
1/13/1986,54.1
1/14/1986,54.15
1/15/1986,55.15
1/16/1986,56.1
1/17/1986,56.14
1/20/1986,55.8
1/21/1986,55.55
1/22/1986,54.51
1/23/1986,54.51
1/24/1986,55.24
1/27/1986,55.31
1/28/1986,55.87
1/29/1986,55.87
1/30/1986,55.31
1/31/1986,55.5
2/3/1986,56.1
2/4/1986,55.83
2/5/1986,56.07
2/6/1986,56.49
2/7/1986,57.28
2/10/1986,57.65
2/11/1986,57.89
2/12/1986,57.97
2/13/1986,58.18
2/14/1986,58.62
2/18/1986,59.53
2/19/1986,59.03
2/20/1986,59.72
2/21/1986,60.17
2/24/1986,59.63
2/25/1986,59.21
2/26/1986,58.92
2/27/1986,59.46
2/28/1986,59.17
3/3/1986,58.61
3/4/1986,58.26
3/5/1986,57.69
3/6/1986,57.8
3/7/1986,57.28
3/10/1986,57.9
3/11/1986,59.34
3/12/1986,59.42
3/13/1986,59.5
3/14/1986,59.63
3/17/1986,59.24
3/18/1986,59.72
3/19/1986,59.28
3/20/1986,58.94
3/21/1986,58.42
3/24/1986,58.02
3/25/1986,57.53
3/26/1986,57.6
3/27/1986,57.88
3/31/1986,57.94
4/1/1986,56.77
4/2/1986,57.01
4/3/1986,56.79
4/4/1986,56.32
4/7/1986,56.67
4/8/1986,57.89
4/9/1986,57.7
4/10/1986,58.77
4/11/1986,59.17
4/14/1986,59.74
4/15/1986,60.09
4/16/1986,62
4/17/1986,62.4
4/18/1986,62.28
4/21/1986,62.6
4/22/1986,62.28
4/23/1986,62.38
4/24/1986,63.81
4/25/1986,64.46
4/28/1986,64.86
4/29/1986,63.88
4/30/1986,62.38
5/1/1986,62.24
5/2/1986,62.26
5/5/1986,63.18
5/6/1986,63.64
5/7/1986,63.31
5/8/1986,63.49
5/9/1986,63.81
